# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 135 314 471 2114 898
p 2 53 571 296 2437 1017
p 2 36 492 392 2819 959
p 2 26 706 188 3314 1082
p 2 17 656 247 3593 1073
p 2 15 665 240 3751 1061
p 2 12 684 224 4120 1096
p 2 10 739 171 4143 1091
p 2 9 680 231 4504 1053
p 2 7 695 218 4392 1045
p 2 8 670 242 4687 985
p 2 8 675 237 4636 979
p 2 8 610 302 4977 923
p 2 8 721 191 4993 1016
p 2 8 571 341 4935 882
p 2 7 630 283 4796 940
p 2 0 575 345 900 660
p 2 89 635 196 7022 1426
p 2 101 649 170 11078 1818
p 2 76 736 108 12213 1868
p 2 64 746 110 12248 1891
p 2 0 622 298 1070 748
p 2 0 469 451 713 606
p 2 0 353 567 550 472
p 2 0 452 468 567 517
p 2 0 266 654 388 364
p 2 0 396 524 484 449
p 2 0 210 710 334 310
p 2 480 440 0 11306 2902
i 2 920 0 0 16457 3521
p 2 536 384 0 23137 3800
p 2 414 506 0 27517 3741
p 2 0 622 298 1415 783
p 2 0 500 420 906 613
p 2 0 449 471 936 569
p 2 0 400 520 791 524
p 2 0 394 526 772 518
p 2 0 316 604 618 440
p 2 0 273 647 561 400
p 2 0 226 694 466 355
p 2 0 232 688 464 355
p 2 0 182 738 410 312
p 2 0 164 756 330 286
p 2 0 138 782 313 271
p 2 0 116 804 287 245
p 2 0 113 807 285 247
p 2 0 107 813 291 241
p 2 0 111 809 290 244
i 2 920 0 0 25975 3927
p 2 0 423 497 660 547
p 2 0 350 570 554 474
p 2 0 264 656 444 386
p 2 0 235 685 419 358
p 2 0 179 741 350 303
p 2 0 132 788 299 258
p 2 0 118 802 296 251
p 2 0 74 846 230 205
p 2 0 54 866 210 188
p 2 0 80 840 244 214
p 2 0 116 804 289 246
p 2 15 95 810 1730 336
p 2 0 86 834 272 219
p 2 8 162 750 3204 481
p 2 0 126 794 392 263
p 2 41 175 704 5642 711
p 2 0 151 769 499 296
p 2 64 229 627 8519 975
p 2 0 192 728 613 342
p 2 29 299 592 10324 975
p 2 0 226 694 774 381
p 2 38 315 567 12704 1133
p 2 0 274 646 950 439
p 2 123 349 448 21053 1722
p 2 0 323 597 1041 473
p 2 69 484 367 24618 1812
p 2 0 397 523 1383 567
p 2 124 521 275 30315 2257
p 2 0 435 485 1435 602
p 2 10 627 283 22505 1514
p 2 0 517 403 1783 694
p 2 12 643 265 24221 1651
p 2 0 495 425 1694 663
p 2 0 494 426 7907 776
p 2 18 420 482 3700 758
p 2 0 457 463 7656 744
p 2 0 335 585 1026 465
p 2 2 416 502 8932 777
p 2 0 323 597 2116 475
p 2 0 384 536 9006 656
p 2 4 283 633 3148 466
p 2 0 364 556 8165 611
p 2 0 290 630 2601 423
i 2 920 0 0 33614 3880
p 2 0 386 534 1862 526
p 2 0 383 537 2326 521
p 2 0 269 651 2302 409
p 2 0 253 667 2316 392
p 2 0 276 644 2390 410
p 2 0 233 687 2344 369
p 2 0 231 689 677 359
p 2 0 234 686 579 353
p 2 0 199 721 569 323
p 2 0 176 744 459 300
p 2 0 214 706 507 332
p 2 0 128 792 437 261
p 2 0 135 785 388 265
p 2 0 107 813 319 236
p 2 0 90 830 286 218
p 2 0 119 801 329 248
p 2 0 126 794 368 254
p 2 0 115 805 340 244
p 2 0 78 842 269 210
p 2 0 79 841 262 209
p 2 14 903 3 13182 1936
p 2 45 871 4 17384 2171
p 2 44 873 3 19515 2264
p 2 23 890 7 17228 2068
p 2 17 898 5 18106 2103
p 2 7 910 3 17106 2020
p 2 6 902 12 9371 1631
p 2 0 900 20 5904 1352
p 2 0 897 23 7703 1377
p 2 0 891 29 5108 1284
p 2 0 902 18 9780 1491
p 2 0 896 24 7271 1387
p 2 0 889 31 5405 1272
p 2 0 904 16 9057 1492
p 2 0 892 28 5436 1283
p 2 0 895 25 7251 1394
p 2 0 892 28 5586 1296
p 2 0 888 32 5248 1254
p 2 0 864 56 5061 1215
p 2 0 904 16 7302 1336
p 2 0 916 4 7816 1413
i 2 920 0 0 41237 4168
p 2 0 591 329 1322 742
p 2 3 705 212 11898 1245
p 2 0 757 163 2662 967
p 2 1 761 158 10708 1237
p 2 0 768 152 3186 1023
p 2 2 820 98 10569 1304
p 2 1 769 150 4638 1091
p 2 8 777 135 11444 1324
p 2 0 784 136 2789 1016
p 2 18 711 191 12036 1332
p 2 0 793 127 2785 1035
p 2 12 809 99 12371 1443
p 2 0 763 157 2787 1018
p 2 0 769 151 2731 970
p 2 17 825 78 12359 1548
p 2 0 736 184 2364 940
p 2 0 750 170 2211 976
p 2 10 743 167 11078 1335
p 2 0 792 128 2659 1034
p 2 8 755 157 3802 1051
p 2 4 835 81 10215 1352
p 2 0 764 156 2693 966
p 2 1 791 128 3511 1098
p 2 16 791 113 10189 1343
p 2 0 650 270 1703 820
p 2 0 756 164 3540 1019
p 2 16 813 91 9408 1372
p 2 0 784 136 2554 985
p 2 9 772 139 3801 1141
p 2 8 832 80 10564 1380
p 2 0 778 142 2636 1023
p 2 25 796 99 12874 1516
p 2 0 710 210 2282 888
p 2 15 818 87 13697 1520
p 2 0 788 132 2661 1025
p 2 10 788 122 12553 1414
p 2 0 838 82 3571 1104
p 2 3 798 119 11326 1347
p 2 1 845 74 6028 1182
p 2 7 796 117 13036 1382
p 2 0 592 328 3474 767
p 2 13 769 138 14960 1461
p 2 0 746 174 4748 984
p 2 0 749 171 11529 1244
i 2 920 0 0 25054 3646
