# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 76 844 0 3921 1176
p 2 18 591 311 2633 874
p 2 29 830 61 6149 1485
p 2 68 841 11 6009 1506
p 2 265 655 0 6572 2113
p 2 179 736 5 6950 1992
p 2 245 675 0 8114 2366
p 2 195 725 0 8857 2191
p 2 194 726 0 8772 2367
p 2 131 789 0 9477 2201
p 2 134 786 0 9937 2243
p 2 111 809 0 9501 2142
p 2 100 820 0 8574 2186
p 2 95 825 0 9060 2182
p 2 86 834 0 9743 2240
p 2 89 831 0 10162 2280
p 2 88 832 0 10522 2307
p 2 80 840 0 11136 2344
p 2 79 841 0 11420 2361
p 2 71 849 0 11929 2423
p 2 65 855 0 12887 2430
p 2 61 859 0 13369 2438
p 2 57 863 0 13919 2467
p 2 61 859 0 17041 2536
p 2 8 897 15 9953 1531
p 2 39 842 39 11344 1818
p 2 41 794 85 14872 1761
p 2 24 783 113 10581 1634
p 2 25 834 61 9610 1661
p 2 13 802 105 7715 1530
p 2 6 788 126 8040 1470
p 2 6 839 75 7954 1456
p 2 4 835 81 8007 1408
p 2 4 816 100 7857 1347
p 2 0 810 110 7935 1279
p 2 0 815 105 7528 1143
p 2 0 852 68 7698 1167
p 2 0 803 117 8297 1142
p 2 0 788 132 8530 1126
p 2 0 820 100 9013 1186
p 2 0 808 112 9147 1196
p 2 0 815 105 9372 1231
p 2 9 775 136 11023 1253
p 2 11 780 129 12350 1310
p 2 5 810 105 12792 1308
p 2 99 687 134 12565 1694
p 2 85 740 95 17214 1739
p 2 9 806 105 12391 1318
p 2 7 913 0 14882 2043
p 2 0 919 1 14459 2027
p 2 1 916 3 15557 2093
p 2 0 918 2 17090 2082
p 2 0 920 0 17624 2044
p 2 2 916 2 19063 2021
p 2 2 915 3 19580 1967
p 2 3 913 4 22082 1923
p 2 0 918 2 23231 1907
p 2 0 914 6 24283 1784
p 2 0 919 1 26097 1783
p 2 1 905 14 27036 1717
p 2 0 916 4 27897 1679
p 2 4 893 23 29225 1665
p 2 0 917 3 29409 1640
p 2 12 894 14 32332 1680
p 2 12 908 0 34466 1754
p 2 90 826 4 34938 2025
p 2 43 875 2 39059 1940
p 2 15 893 12 36995 1739
p 2 8 910 2 33856 1597
p 2 7 896 17 34240 1536
p 2 7 907 6 33612 1546
p 2 4 886 30 34887 1505
p 2 1 904 15 31348 1426
p 2 1 893 26 30929 1406
p 2 1 906 13 30874 1403
p 2 1 899 20 31473 1406
p 2 0 912 8 30657 1406
p 2 0 898 22 31018 1385
p 2 195 725 0 38728 2298
p 2 155 765 0 38458 2310
p 2 122 798 0 38655 2392
p 2 100 819 1 36868 2357
p 2 94 826 0 35849 2447
p 2 93 825 2 34764 2445
p 2 107 812 1 35816 2562
p 2 100 820 0 33304 2506
p 2 116 804 0 33292 2592
p 2 106 814 0 31126 2613
p 2 124 796 0 32908 2776
p 2 104 816 0 30258 2722
p 2 152 768 0 28321 2958
p 2 93 827 0 27890 2777
p 2 92 828 0 22643 2685
p 2 78 842 0 20110 2675
p 2 88 832 0 17667 2667
p 2 112 808 0 17726 2677
p 2 0 855 65 6502 1199
p 2 0 861 59 6276 1125
p 2 0 844 76 6089 1096
p 2 0 848 72 6248 1113
p 2 0 816 104 5991 1068
p 2 0 823 97 6186 1078
p 2 0 809 111 6260 1060
p 2 0 827 93 6042 1078
p 2 0 776 144 6017 1022
p 2 0 809 111 6254 1060
p 2 0 770 150 6058 1019
p 2 1 790 129 6046 1047
p 2 1 759 160 6127 1018
p 2 5 775 140 7328 1051
i 2 920 0 0 26460 3777
p 2 1 543 376 6391 746
p 2 230 690 0 26078 3099
i 2 920 0 0 23485 3656
p 2 4 611 305 5522 791
i 2 920 0 0 21328 3684
p 2 29 839 52 10077 1649
p 2 297 547 76 22739 3084
p 2 13 894 13 12577 1795
p 2 861 59 0 10304 3108
i 2 920 0 0 27892 3587
i 2 920 0 0 34169 4310
p 2 155 763 2 26016 3088
p 2 83 837 0 23916 2836
p 2 82 838 0 25516 2863
p 2 58 862 0 27504 2885
p 2 115 805 0 25377 2952
p 2 55 865 0 25437 2806
i 2 920 0 0 45508 4385
p 2 250 643 27 41686 3334
p 2 9 712 199 6701 1159
p 2 207 671 42 42472 3360
p 2 12 882 26 18095 1584
p 2 5 912 3 17195 1631
p 2 320 600 0 43604 3762
p 2 311 609 0 30465 3354
p 2 418 500 2 34888 3710
p 2 346 574 0 26673 3620
i 2 920 0 0 13884 2987
p 2 0 860 60 2419 923
p 2 67 701 152 8642 1265
p 2 611 309 0 51826 4612
p 2 328 592 0 34279 3685
p 2 178 742 0 33603 3373
p 2 277 643 0 22650 3070
p 2 95 825 0 23823 2688
p 2 84 836 0 15852 2207
p 2 565 355 0 60779 4082
p 2 21 877 22 20108 1463
p 2 14 823 83 18550 1308
p 2 186 666 68 40172 2435
p 2 2 832 86 18702 1345
p 2 218 678 24 50239 2798
p 2 7 873 40 25022 1510
p 2 23 877 20 40909 2037
p 2 0 867 53 20301 1298
p 2 0 897 23 21065 1465
p 2 0 877 43 20080 1397
p 2 0 870 50 23232 1425
p 2 5 869 46 23197 1472
i 2 920 0 0 42884 4484
p 2 190 719 11 48105 3223
p 2 114 803 3 46645 2861
p 2 88 829 3 44336 2751
p 2 61 858 1 40887 2570
