# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 82 64 774 955 505
p 2 39 306 575 1571 650
p 2 22 343 555 2070 649
p 2 17 338 565 2248 636
p 2 19 410 491 2661 687
p 2 11 257 652 2706 564
p 2 8 426 486 2946 650
p 2 7 422 491 3111 639
p 2 8 248 664 3030 519
p 2 7 431 482 3305 631
p 2 8 314 598 3219 557
p 2 7 426 487 3402 613
p 2 6 152 762 3229 433
p 2 5 424 491 3545 609
p 2 5 339 576 3393 549
p 2 3 434 483 3545 613
p 2 0 309 611 691 394
p 2 211 410 299 9614 1606
p 2 121 571 228 11133 1648
p 2 74 586 260 11262 1583
p 2 47 574 299 10729 1488
p 2 0 476 444 1052 646
p 2 0 318 602 591 457
p 2 0 315 605 493 419
p 2 0 144 776 298 273
p 2 0 169 751 327 293
p 2 0 105 815 250 233
p 2 0 93 827 240 221
i 2 920 0 0 14706 3434
p 2 491 429 0 19858 3609
p 2 343 577 0 24511 3590
p 2 255 665 0 27477 3485
p 2 0 683 237 1596 845
p 2 0 509 411 931 635
p 2 0 326 594 612 453
p 2 0 405 515 784 532
p 2 0 307 613 553 429
p 2 0 275 645 512 399
p 2 0 231 689 457 352
p 2 0 225 695 444 350
p 2 0 140 780 306 271
p 2 0 130 790 319 264
p 2 0 90 830 258 223
p 2 0 75 845 235 210
p 2 0 64 856 219 198
p 2 0 35 885 179 169
p 2 0 33 887 180 169
p 2 0 20 900 165 156
i 2 920 0 0 62378 4916
p 2 0 141 779 369 276
p 2 0 106 814 298 242
p 2 0 69 851 470 211
p 2 0 51 869 228 186
p 2 0 50 870 237 188
p 2 0 53 867 456 194
p 2 0 46 874 223 180
p 2 0 32 888 191 166
p 2 0 31 889 482 173
p 2 0 29 891 200 165
p 2 0 16 904 167 152
p 2 0 24 896 450 165
p 2 0 20 900 180 156
p 2 0 6 914 150 142
p 2 0 21 899 455 164
p 2 0 268 652 735 394
p 2 0 377 543 1156 540
p 2 0 400 520 1459 545
p 2 0 545 375 1603 708
p 2 0 448 472 1343 600
p 2 0 507 413 1923 680
p 2 0 639 281 1983 785
p 2 0 549 371 1641 724
p 2 0 523 397 1919 670
p 2 0 586 334 1869 759
p 2 0 547 373 1583 685
p 2 0 698 222 2726 888
p 2 0 582 338 1981 735
p 2 0 545 375 1760 714
p 2 0 589 331 2342 755
p 2 0 570 350 1834 742
p 2 0 267 653 680 389
p 2 0 145 775 701 288
p 2 0 100 820 335 231
p 2 0 104 816 327 234
p 2 0 44 876 491 186
p 2 0 45 875 225 179
p 2 0 29 891 193 164
p 2 0 26 894 367 165
p 2 0 15 905 169 151
p 2 0 16 904 170 152
p 2 0 21 899 404 161
p 2 0 12 908 162 147
i 2 920 0 0 38281 4084
p 2 0 276 644 1667 424
p 2 0 217 703 2041 354
p 2 0 151 769 2076 292
p 2 0 152 768 2128 295
p 2 0 101 819 2084 246
p 2 0 84 836 2096 231
p 2 0 75 845 2096 223
p 2 0 88 832 2154 236
p 2 0 70 850 2084 218
p 2 0 63 857 2098 213
p 2 0 57 863 2142 207
p 2 0 63 857 2093 212
p 2 0 44 876 357 186
p 2 0 38 882 227 172
p 2 0 45 875 281 181
p 2 0 25 895 202 161
p 2 0 18 902 176 152
p 2 0 27 893 210 163
p 2 0 12 908 157 148
p 2 0 8 912 154 144
p 2 42 875 3 15895 2096
p 2 73 847 0 18795 2276
p 2 33 887 0 19710 2312
p 2 26 893 1 19231 2225
p 2 17 902 1 19073 2202
p 2 30 890 0 19005 2179
p 2 0 853 67 3477 1177
p 2 0 829 91 4259 1140
p 2 0 767 153 2643 1040
p 2 0 751 169 2694 986
p 2 1 868 51 4444 1216
p 2 0 648 272 2035 827
p 2 0 711 209 2318 948
p 2 0 840 80 4286 1131
p 2 0 703 217 2243 947
p 2 0 809 111 3902 1091
p 2 0 837 83 3151 1150
p 2 0 754 166 2502 969
p 2 0 755 165 3046 1013
p 2 0 750 170 2929 987
p 2 0 767 153 2769 1053
i 2 920 0 0 79929 5058
p 2 0 189 731 426 323
p 2 3 492 425 18298 841
p 2 0 295 625 1114 435
p 2 0 349 571 14226 639
p 2 0 377 543 2590 539
p 2 0 357 563 10677 613
p 2 0 240 680 922 378
p 2 0 389 531 8898 613
p 2 0 262 658 1047 399
p 2 0 379 541 8704 591
p 2 0 226 694 903 360
p 2 0 297 623 7010 497
p 2 0 372 548 2412 516
p 2 0 306 614 9975 528
p 2 0 200 720 889 341
p 2 0 375 545 8997 581
p 2 0 222 698 892 353
p 2 0 384 536 11459 613
p 2 0 213 707 899 353
p 2 1 317 602 10844 564
p 2 0 362 558 2263 502
p 2 0 320 600 7915 522
p 2 0 209 711 830 341
p 2 0 394 526 9226 600
p 2 0 240 680 935 376
p 2 0 375 545 8604 568
p 2 0 217 703 812 345
p 2 0 276 644 6521 455
p 2 0 324 596 2174 468
p 2 0 305 615 7349 497
p 2 0 175 745 732 306
p 2 0 351 569 9489 560
p 2 0 223 697 977 355
p 2 0 372 548 13367 617
p 2 0 215 705 905 354
p 2 0 266 654 13031 530
p 2 0 323 597 2468 480
p 2 1 329 590 15260 604
p 2 0 246 674 2591 393
p 2 1 387 532 16065 673
p 2 0 250 670 3118 408
p 2 2 375 543 15405 665
p 2 0 255 665 3113 414
p 2 0 278 642 12997 550
i 2 920 0 0 32234 3768
p 2 0 831 89 4814 1070
p 2 0 889 31 11349 1464
p 2 40 838 42 16307 1926
p 2 10 886 24 10322 1707
p 2 27 881 12 19681 2030
