# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 763 157 0 3808 2838
p 2 638 282 0 4968 2874
p 2 576 344 0 6213 2920
p 2 411 509 0 7509 2851
p 2 289 630 1 8845 2739
p 2 199 721 0 10319 2746
p 2 167 753 0 10873 2663
p 2 129 791 0 12101 2677
p 2 132 788 0 11669 2611
p 2 103 817 0 13652 2696
p 2 88 832 0 12587 2646
p 2 62 858 0 14179 2642
p 2 63 856 1 12693 2534
p 2 45 875 0 16274 2618
p 2 48 872 0 14393 2541
p 2 62 858 0 18382 2657
p 2 47 873 0 14855 2530
p 2 63 857 0 19053 2695
p 2 38 882 0 16269 2566
p 2 47 873 0 19466 2656
p 2 31 889 0 15831 2529
p 2 39 881 0 19782 2633
p 2 31 889 0 16760 2486
p 2 45 875 0 21983 2700
p 2 39 881 0 18349 2534
p 2 1 875 44 13858 1478
p 2 4 915 1 8729 1411
p 2 7 913 0 14712 1662
p 2 2 918 0 10093 1442
p 2 5 913 2 14268 1566
p 2 3 913 4 7381 1291
p 2 7 911 2 14674 1516
p 2 0 916 4 9246 1321
p 2 11 906 3 13760 1553
p 2 12 907 1 7756 1340
p 2 7 912 1 14530 1582
p 2 2 897 21 7264 1243
p 2 10 876 34 16131 1471
p 2 6 913 1 8527 1338
p 2 14 905 1 17415 1621
p 2 2 915 3 8238 1306
p 2 25 894 1 18762 1737
p 2 3 912 5 10186 1357
p 2 14 903 3 17735 1637
p 2 1 910 9 9500 1306
p 2 10 908 2 15025 1597
p 2 1 907 12 9011 1277
p 2 13 906 1 16454 1643
p 2 1 913 6 9963 1319
p 2 16 788 116 16861 1501
p 2 6 910 4 8238 1307
p 2 62 857 1 20308 2008
p 2 1 917 2 10976 1474
p 2 107 811 2 18810 2086
p 2 3 914 3 8119 1296
p 2 98 819 3 18933 1898
p 2 1 917 2 9988 1252
i 2 920 0 0 19571 3375
p 2 5 915 0 7710 1253
p 2 144 776 0 20700 2133
p 2 0 902 18 7814 1232
p 2 92 807 21 21751 2040
p 2 5 914 1 9359 1410
p 2 79 841 0 21917 2097
i 2 920 0 0 30570 3776
p 2 92 828 0 29900 2569
p 2 236 684 0 31085 3330
p 2 177 742 1 30476 2703
p 2 177 740 3 37588 3233
p 2 152 766 2 25247 2622
i 2 920 0 0 2858 2601
p 2 0 189 731 341 267
i 2 920 0 0 25904 3683
p 2 431 488 1 34290 3717
p 2 481 439 0 31913 3772
p 2 414 505 1 29680 3329
p 2 502 416 2 33937 3650
p 2 120 800 0 35319 3044
p 2 198 714 8 31270 3268
p 2 166 752 2 35054 3141
p 2 430 490 0 28063 3600
p 2 427 493 0 7061 2792
p 2 0 389 531 882 750
p 2 0 349 571 617 597
i 2 920 0 0 22662 3574
p 2 528 363 29 26483 3498
i 2 920 0 0 31845 3842
p 2 569 351 0 33716 3883
p 2 187 733 0 39590 3394
i 2 920 0 0 12046 3153
p 2 145 768 7 15683 2529
i 2 920 0 0 23151 3741
p 2 190 730 0 25602 3090
p 2 38 882 0 17608 2461
p 2 28 892 0 15851 2360
i 2 920 0 0 16974 3554
i 2 920 0 0 27429 4081
p 2 13 907 0 13762 2175
p 2 22 898 0 15990 2196
p 2 15 905 0 12935 2163
p 2 7 913 0 12363 2067
p 2 2 918 0 14343 2103
p 2 0 804 116 3493 1164
p 2 175 701 44 23183 2676
p 2 0 797 123 4846 1242
p 2 5 727 188 8096 1134
p 2 79 730 111 8641 1855
p 2 0 725 195 6331 1083
p 2 0 878 42 6384 1484
p 2 0 792 128 6362 1138
p 2 0 756 164 5749 1166
p 2 0 649 271 5028 968
p 2 0 789 131 4209 1134
i 2 920 0 0 2968 2598
p 2 0 7 913 144 143
p 2 0 82 838 469 213
p 2 0 447 473 1493 489
i 2 920 0 0 36297 4739
p 2 78 841 1 33797 2798
i 2 920 0 0 33132 4194
p 2 436 484 0 39058 3999
p 2 276 644 0 30695 3674
p 2 334 586 0 45715 3889
p 2 209 711 0 36225 3626
p 2 361 559 0 40452 3954
p 2 105 815 0 28321 3197
p 2 139 781 0 35741 3308
p 2 126 794 0 29048 3259
p 2 55 865 0 32126 2924
p 2 72 848 0 25380 3021
p 2 37 882 1 21791 2589
p 2 41 879 0 20764 2689
p 2 7 913 0 12700 2157
p 2 50 870 0 28382 2751
p 2 54 866 0 27897 2641
p 2 72 848 0 26935 2941
p 2 5 915 0 11914 1871
p 2 52 868 0 26675 2741
p 2 14 906 0 21653 2260
p 2 62 858 0 22414 2749
p 2 6 914 0 10179 1737
p 2 68 852 0 19413 2559
p 2 25 894 1 20818 2328
i 2 920 0 0 6757 2920
p 2 0 920 0 3925 1390
p 2 0 920 0 6577 1601
p 2 1 919 0 4361 1431
p 2 2 918 0 5947 1531
p 2 1 919 0 4239 1372
p 2 2 918 0 6928 1643
p 2 6 914 0 4590 1479
p 2 3 917 0 7755 1633
p 2 4 916 0 6234 1542
p 2 8 912 0 7131 1670
p 2 0 920 0 5004 1507
p 2 4 916 0 8563 1745
p 2 1 919 0 5857 1566
p 2 3 917 0 8018 1711
p 2 7 913 0 6760 1627
p 2 3 917 0 8067 1724
p 2 5 915 0 5584 1505
p 2 3 917 0 9047 1711
p 2 3 917 0 5758 1495
p 2 2 918 0 7659 1661
p 2 8 912 0 8656 1634
p 2 3 917 0 7396 1620
p 2 3 917 0 5545 1379
p 2 1 919 0 8552 1683
p 2 3 917 0 6498 1429
p 2 6 914 0 6658 1530
