# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 135 314 471 2114 898
p 2 53 571 296 2437 1017
p 2 36 492 392 2819 959
p 2 26 706 188 3314 1082
p 2 17 656 247 3593 1073
p 2 15 665 240 3751 1061
p 2 12 684 224 4120 1096
p 2 10 739 171 4143 1091
p 2 9 680 231 4504 1053
p 2 7 695 218 4392 1045
p 2 8 670 242 4687 985
p 2 8 675 237 4636 979
p 2 8 610 302 4977 923
p 2 8 721 191 4993 1016
p 2 8 571 341 4935 882
p 2 7 630 283 4796 940
p 2 0 575 345 900 660
p 2 89 635 196 7022 1426
p 2 101 649 170 11078 1818
p 2 76 736 108 12213 1868
p 2 64 746 110 12248 1891
p 2 0 622 298 1070 748
p 2 0 469 451 713 606
p 2 0 353 567 550 472
p 2 0 452 468 567 517
p 2 0 266 654 388 364
p 2 0 396 524 484 449
p 2 0 210 710 334 310
p 2 482 438 0 11292 2911
i 2 920 0 0 16471 3523
p 2 539 381 0 23272 3797
p 2 428 492 0 27418 3772
p 2 0 643 277 1469 803
p 2 0 449 471 845 571
p 2 0 478 442 982 600
p 2 0 401 519 757 521
p 2 0 379 541 702 502
p 2 0 329 591 643 456
p 2 0 315 605 591 436
p 2 0 202 718 437 329
p 2 0 259 661 504 381
p 2 0 203 717 423 331
p 2 0 139 781 336 272
p 2 0 145 775 328 276
p 2 0 120 800 290 251
p 2 0 123 797 301 254
p 2 0 146 774 325 276
p 2 0 120 800 298 249
i 2 920 0 0 25990 3928
p 2 0 429 491 676 562
p 2 0 341 579 535 463
p 2 0 220 700 393 343
p 2 0 232 688 415 357
p 2 0 160 760 326 286
p 2 0 134 786 305 266
p 2 0 117 803 278 241
p 2 0 78 842 232 208
p 2 0 74 846 224 206
p 2 0 59 861 206 189
p 2 0 66 854 213 198
p 2 15 89 816 1699 327
p 2 0 74 846 262 208
p 2 10 154 756 3223 478
p 2 0 113 807 379 250
p 2 40 166 714 5689 708
p 2 0 152 768 547 301
p 2 65 252 603 8500 989
p 2 0 197 723 632 351
p 2 32 280 608 10320 969
p 2 0 230 690 797 384
p 2 36 319 565 12794 1134
p 2 0 282 638 987 448
p 2 117 359 444 21226 1712
p 2 0 293 627 964 455
p 2 67 487 366 24763 1815
p 2 0 401 519 1396 576
p 2 120 528 272 30337 2257
p 2 0 459 461 1537 644
p 2 10 626 284 22437 1533
p 2 0 520 400 1716 691
p 2 11 632 277 24355 1634
p 2 0 483 437 1659 659
p 2 0 467 453 7789 748
p 2 18 427 475 3739 773
p 2 0 461 459 7719 752
p 2 0 314 606 952 447
p 2 2 409 509 8925 759
p 2 0 330 590 2069 475
p 2 0 404 516 8926 680
p 2 4 290 626 3116 470
p 2 0 366 554 8175 618
p 2 0 269 651 2576 411
i 2 920 0 0 33709 3874
p 2 0 397 523 1890 536
p 2 0 364 556 2299 495
p 2 0 273 647 2301 411
p 2 0 244 676 2313 380
p 2 0 259 661 2384 395
p 2 0 232 688 2293 368
p 2 0 258 662 706 380
p 2 0 259 661 597 377
p 2 0 242 678 662 367
p 2 0 169 751 451 295
p 2 0 173 747 440 297
p 2 0 189 731 504 314
p 2 0 158 762 432 285
p 2 0 178 742 456 299
p 2 0 103 817 365 234
p 2 0 91 829 277 220
p 2 0 102 818 297 232
p 2 0 70 850 240 201
p 2 0 79 841 262 210
p 2 0 93 827 262 219
p 2 13 907 0 13167 1937
p 2 44 873 3 17575 2159
p 2 43 873 4 19414 2253
p 2 18 896 6 17279 2054
p 2 18 893 9 18027 2121
p 2 5 906 9 17035 2018
p 2 8 895 17 9343 1604
p 2 0 905 15 5923 1334
p 2 0 896 24 7649 1381
p 2 0 893 27 5275 1304
p 2 0 903 17 9737 1495
p 2 0 905 15 7411 1430
p 2 0 902 18 5384 1290
p 2 0 902 18 8992 1489
p 2 0 898 22 5361 1294
p 2 0 893 27 7331 1399
p 2 0 901 19 5723 1306
p 2 0 884 36 5335 1266
p 2 0 869 51 5081 1214
p 2 0 902 18 7359 1344
p 2 0 914 6 7856 1411
i 2 920 0 0 41207 4169
p 2 0 586 334 1306 744
p 2 3 735 182 12017 1283
p 2 0 766 154 2707 989
p 2 1 768 151 10595 1235
p 2 0 765 155 3198 1034
p 2 1 820 99 10639 1309
p 2 1 754 165 4692 1085
p 2 9 778 133 11446 1325
p 2 0 787 133 2817 1011
p 2 19 730 171 11999 1376
p 2 0 777 143 2845 1031
p 2 12 799 109 12349 1446
p 2 0 782 138 2857 1039
p 2 0 758 162 2651 956
p 2 16 826 78 12383 1567
p 2 0 724 196 2297 923
p 2 0 757 163 2245 970
p 2 9 742 169 11049 1335
p 2 0 789 131 2598 1020
p 2 8 770 142 3731 1065
p 2 5 842 73 10242 1374
p 2 0 756 164 2625 948
p 2 0 776 144 3465 1073
p 2 17 789 114 10204 1364
p 2 0 651 269 1763 824
p 2 0 740 180 3441 1000
p 2 17 801 102 9321 1359
p 2 0 776 144 2439 966
p 2 7 775 138 3802 1140
p 2 8 830 82 10664 1381
p 2 0 774 146 2573 1013
p 2 23 778 119 12810 1499
p 2 0 704 216 2229 892
p 2 14 820 86 13628 1512
p 2 0 777 143 2691 1021
p 2 11 803 106 12570 1452
p 2 0 838 82 3530 1104
p 2 1 805 114 11452 1344
p 2 1 835 84 6022 1180
p 2 7 785 128 13041 1383
p 2 0 588 332 3436 756
p 2 12 782 126 14935 1473
p 2 0 771 149 4743 1006
p 2 0 810 110 12017 1320
i 2 920 0 0 25068 3653
