# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 76 844 0 3921 1176
p 2 18 591 311 2633 874
p 2 29 830 61 6149 1485
p 2 68 841 11 6009 1506
p 2 270 650 0 6539 2128
p 2 184 731 5 6912 2001
p 2 248 672 0 8065 2369
p 2 180 740 0 8959 2191
p 2 178 742 0 9083 2366
p 2 137 783 0 9598 2209
p 2 133 787 0 9997 2293
p 2 117 803 0 9506 2191
p 2 105 815 0 8686 2214
p 2 90 830 0 9377 2257
p 2 85 835 0 9760 2259
p 2 90 830 0 10264 2324
p 2 79 841 0 10693 2313
p 2 77 843 0 11246 2339
p 2 76 844 0 11476 2373
p 2 68 852 0 11977 2397
p 2 66 854 0 12858 2416
p 2 57 863 0 13392 2445
p 2 52 868 0 13825 2462
p 2 62 858 0 16971 2568
p 2 8 907 5 9806 1478
p 2 44 837 39 10899 1772
p 2 39 819 62 15018 1769
p 2 23 803 94 10677 1649
p 2 27 830 63 9563 1654
p 2 14 756 150 7701 1462
p 2 5 795 120 7967 1475
p 2 6 828 86 7847 1407
p 2 5 840 75 7954 1376
p 2 7 827 86 7741 1307
p 2 0 805 115 7670 1161
p 2 0 817 103 7533 1149
p 2 0 810 110 7611 1139
p 2 0 787 133 8356 1133
p 2 0 790 130 8527 1127
p 2 0 819 101 8855 1180
p 2 1 809 110 9061 1230
p 2 0 814 106 9353 1253
p 2 10 796 114 11086 1286
p 2 11 787 122 12363 1302
p 2 6 815 99 12934 1325
p 2 98 703 119 12555 1684
p 2 84 734 102 17243 1723
p 2 10 789 121 12406 1284
p 2 3 917 0 14872 2008
p 2 0 918 2 14478 2021
p 2 0 919 1 15515 2101
p 2 0 918 2 17144 2092
p 2 0 919 1 17736 2081
p 2 1 917 2 19078 1970
p 2 2 916 2 19171 1949
p 2 2 914 4 22099 1917
p 2 0 920 0 22935 1879
p 2 0 917 3 24071 1782
p 2 0 916 4 25862 1795
p 2 1 909 10 27534 1719
p 2 0 917 3 27651 1696
p 2 2 904 14 29781 1681
p 2 2 918 0 29034 1654
p 2 11 888 21 32514 1684
p 2 10 910 0 34448 1742
p 2 93 820 7 35245 2040
p 2 39 881 0 38993 1916
p 2 14 877 29 37065 1722
p 2 6 906 8 33902 1577
p 2 7 894 19 34467 1552
p 2 7 905 8 33774 1534
p 2 3 888 29 35009 1504
p 2 1 911 8 31254 1437
p 2 0 875 45 30932 1377
p 2 1 915 4 30932 1430
p 2 1 887 32 31529 1396
p 2 0 910 10 30523 1413
p 2 0 897 23 31075 1367
p 2 192 728 0 38749 2284
p 2 158 762 0 38665 2324
p 2 117 803 0 38540 2373
p 2 102 818 0 36905 2388
p 2 102 817 1 35927 2439
p 2 95 825 0 35182 2459
p 2 104 816 0 34743 2544
p 2 99 821 0 33352 2536
p 2 118 802 0 33191 2638
p 2 102 818 0 31351 2627
p 2 122 798 0 33080 2773
p 2 108 812 0 30409 2724
p 2 141 779 0 28679 2920
p 2 91 829 0 28047 2774
p 2 83 837 0 22834 2704
p 2 78 842 0 20073 2664
p 2 74 846 0 17786 2618
p 2 110 810 0 17745 2649
p 2 0 880 40 6379 1185
p 2 0 856 64 6341 1125
p 2 0 836 84 6022 1090
p 2 0 844 76 6248 1098
p 2 0 823 97 6004 1053
p 2 0 824 96 6201 1077
p 2 0 796 124 6205 1057
p 2 0 822 98 6061 1059
p 2 0 798 122 6041 1037
p 2 0 814 106 6099 1052
p 2 0 775 145 6064 1014
p 2 1 764 155 5848 1004
p 2 1 756 163 6216 1013
p 2 5 793 122 7402 1076
i 2 920 0 0 26534 3775
p 2 2 555 363 6462 761
p 2 235 685 0 26116 3090
i 2 920 0 0 23450 3662
p 2 4 615 301 5587 844
i 2 920 0 0 21237 3683
p 2 30 832 58 9833 1654
p 2 294 551 75 22742 3073
p 2 13 875 32 12386 1778
p 2 861 59 0 10292 3106
i 2 920 0 0 27886 3585
i 2 920 0 0 34095 4313
p 2 156 764 0 25984 3084
p 2 74 845 1 24078 2770
p 2 101 819 0 26634 2931
p 2 52 868 0 26327 2806
p 2 120 800 0 26298 2988
p 2 68 852 0 26019 2862
i 2 920 0 0 45486 4387
p 2 259 623 38 41219 3337
p 2 10 717 193 6750 1142
p 2 216 661 43 42013 3384
p 2 11 887 22 18027 1566
p 2 4 914 2 16990 1577
p 2 327 593 0 43143 3776
p 2 331 588 1 30644 3431
p 2 387 532 1 35366 3669
p 2 376 544 0 26571 3599
i 2 920 0 0 13829 2979
p 2 0 850 70 2461 937
p 2 67 716 137 8636 1265
p 2 610 310 0 51783 4607
p 2 329 591 0 34599 3706
p 2 165 755 0 33561 3351
p 2 275 645 0 22859 3048
p 2 99 820 1 23557 2643
p 2 90 830 0 16378 2202
p 2 561 359 0 61040 4096
p 2 16 870 34 20319 1491
p 2 15 859 46 18380 1343
p 2 185 646 89 39933 2387
p 2 2 834 84 18858 1355
p 2 223 646 51 50094 2782
p 2 6 885 29 24992 1526
p 2 23 880 17 40943 2032
p 2 0 857 63 20344 1300
p 2 0 887 33 21229 1426
p 2 0 882 38 19858 1389
p 2 0 874 46 22976 1401
p 2 5 877 38 23110 1474
i 2 920 0 0 42856 4488
p 2 195 718 7 48389 3263
p 2 117 800 3 46606 2881
p 2 95 821 4 43768 2749
p 2 62 857 1 40831 2584
