# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 0 880 40 3392 1102
p 2 0 890 30 5235 1293
p 2 37 863 20 12876 1883
p 2 0 918 2 10063 1669
p 2 25 893 2 16805 1980
p 2 33 884 3 16648 2117
p 2 72 846 2 20159 2302
p 2 86 832 2 16390 2289
p 2 140 780 0 23380 2676
p 2 89 830 1 17931 2416
p 2 113 807 0 23025 2603
p 2 33 886 1 19405 2160
p 2 69 851 0 16286 2288
p 2 16 903 1 11889 1960
p 2 45 875 0 18700 2339
p 2 12 906 2 9858 1899
p 2 2 918 0 8004 1811
p 2 16 903 1 17126 2090
p 2 2 915 3 9739 1786
p 2 0 913 7 8776 1559
p 2 75 834 11 20278 2263
p 2 0 899 21 7028 1347
p 2 0 903 17 6351 1331
p 2 44 851 25 18486 1953
p 2 0 892 28 5422 1253
p 2 0 887 33 4821 1178
p 2 50 860 10 19271 2062
p 2 0 886 34 4516 1196
p 2 0 908 12 3935 1194
p 2 32 875 13 19252 1960
p 2 0 903 17 5977 1329
p 2 0 895 25 6999 1260
p 2 21 884 15 18855 1917
p 2 0 883 37 7363 1360
p 2 0 908 12 7294 1346
p 2 129 772 19 24457 2504
p 2 0 905 15 6855 1310
p 2 0 878 42 7293 1315
p 2 19 893 8 19962 1991
p 2 0 884 36 7279 1326
p 2 0 903 17 7223 1297
p 2 1 879 40 15203 1629
p 2 0 902 18 6737 1294
p 2 0 876 44 5418 1180
p 2 4 898 18 15702 1636
p 2 0 865 55 4944 1187
p 2 0 901 19 6468 1225
p 2 2 846 72 15946 1574
p 2 0 868 52 6761 1217
p 2 0 654 266 2638 845
p 2 11 756 153 14917 1432
p 2 0 530 390 1777 698
p 2 0 367 553 968 501
p 2 3 478 439 9321 971
p 2 0 467 453 1411 621
p 2 0 291 629 828 430
p 2 1 494 425 9871 989
p 2 0 461 459 1641 637
p 2 0 210 710 583 348
p 2 2 448 470 10045 924
p 2 0 312 608 1072 463
p 2 0 208 712 557 341
p 2 7 397 516 9337 856
p 2 0 343 577 1195 506
p 2 0 242 678 700 384
p 2 1 343 576 6709 699
p 2 0 314 606 1043 470
i 2 920 0 0 2622 2615
p 2 0 99 821 319 242
p 2 0 1 919 139 138
p 2 37 42 841 8548 433
p 2 0 163 757 3682 300
p 2 0 212 708 9446 443
p 2 6 237 677 16220 571
p 2 106 275 539 31014 1312
p 2 42 456 422 32009 1244
p 2 5 522 393 26600 1076
p 2 10 585 325 30313 1185
p 2 4 651 265 26078 1236
p 2 0 633 287 20472 1085
p 2 0 463 457 3623 646
p 2 0 664 256 21590 1095
p 2 0 491 429 5178 713
p 2 0 382 538 1299 513
p 2 0 376 544 1399 517
p 2 0 411 509 1712 586
p 2 17 731 172 6669 1120
p 2 1 769 150 7653 1123
p 2 28 873 19 8854 1464
p 2 0 859 61 8158 1290
p 2 0 904 16 7880 1303
p 2 0 865 55 8148 1307
p 2 0 915 5 8263 1315
p 2 0 887 33 8262 1312
p 2 0 897 23 7985 1274
p 2 0 884 36 8065 1291
p 2 0 901 19 9169 1302
p 2 0 869 51 6099 1211
p 2 0 877 43 6170 1161
p 2 0 860 60 7532 1190
p 2 0 904 16 8694 1298
p 2 0 852 68 7488 1201
p 2 0 897 23 8772 1314
p 2 0 734 186 2389 902
p 2 4 910 6 10774 1406
p 2 0 891 29 6292 1252
p 2 0 903 17 6627 1289
p 2 0 862 58 7277 1239
p 2 0 886 34 8430 1309
p 2 0 858 62 6690 1223
p 2 0 857 63 7124 1256
p 2 0 896 24 7727 1290
p 2 3 902 15 9195 1393
p 2 0 883 37 6422 1256
p 2 0 861 59 6713 1241
p 2 0 873 47 6641 1220
p 2 0 852 68 7226 1211
p 2 0 861 59 6978 1222
p 2 0 866 54 6973 1208
p 2 0 849 71 6655 1220
p 2 0 879 41 7892 1253
p 2 0 857 63 6128 1209
p 2 0 839 81 6058 1148
p 2 0 843 77 6055 1184
p 2 0 858 62 6528 1190
p 2 0 800 120 5997 1140
p 2 0 678 242 2284 874
p 2 0 679 241 2209 875
p 2 41 872 7 48263 2382
p 2 220 700 0 67868 3709
p 2 206 714 0 82911 3824
p 2 487 433 0 69024 4491
p 2 398 522 0 82108 4169
p 2 372 548 0 58395 3851
p 2 274 646 0 75332 3791
p 2 389 531 0 62663 4045
p 2 375 545 0 70215 4104
p 2 294 626 0 63110 3739
p 2 257 663 0 62618 3600
p 2 144 776 0 54245 3133
p 2 180 736 4 59098 3182
p 2 0 838 82 11023 1213
p 2 230 680 10 47130 2896
p 2 0 825 95 10943 1273
p 2 138 770 12 38011 2523
p 2 0 830 90 10977 1293
p 2 156 738 26 25642 2245
p 2 0 831 89 10945 1319
p 2 53 833 34 19254 1989
p 2 0 843 77 10543 1497
p 2 5 864 51 14376 1600
p 2 0 819 101 10465 1316
p 2 0 824 96 14012 1374
p 2 0 829 91 9733 1170
p 2 2 791 127 12361 1196
p 2 0 830 90 10087 1148
p 2 0 731 189 11628 1041
p 2 0 833 87 9644 1077
p 2 0 699 221 11221 982
p 2 0 832 88 10017 1058
p 2 0 667 253 11298 939
p 2 0 761 159 9690 997
p 2 0 630 290 10994 910
p 2 0 754 166 9868 982
p 2 0 597 323 11537 885
p 2 0 718 202 10442 947
p 2 0 661 259 10306 911
p 2 0 735 185 10467 957
p 2 0 658 262 10868 912
p 2 0 760 160 10705 964
p 2 0 654 266 9455 880
p 2 0 609 311 10453 861
p 2 0 592 328 10600 860
p 2 0 511 409 10823 802
p 2 0 573 347 9329 821
p 2 0 565 355 10036 822
p 2 0 492 428 10424 779
p 2 0 494 426 10442 783
p 2 0 663 257 9282 878
p 2 0 669 251 10076 885
p 2 0 682 238 10551 902
p 2 0 627 293 10171 854
p 2 0 519 401 9002 774
p 2 0 607 313 9788 839
p 2 0 558 362 10410 822
i 2 920 0 0 4985 2772
p 2 211 463 246 13776 1801
p 2 165 666 89 15637 2292
p 2 235 608 77 22401 2863
p 2 244 615 61 35893 3193
p 2 164 726 30 40055 3176
p 2 399 521 0 36556 3846
p 2 178 741 1 37925 3434
p 2 322 598 0 32947 3570
p 2 161 757 2 31293 3082
p 2 212 705 3 34963 3428
p 2 275 644 1 42298 3704
p 2 303 615 2 48233 3952
i 2 920 0 0 30527 4252
i 2 920 0 0 46996 4949
i 2 920 0 0 47442 4691
i 2 920 0 0 40042 4553
i 2 920 0 0 42431 4642
i 2 920 0 0 46742 4569
p 2 481 425 14 53548 4248
p 2 265 638 17 46857 3497
p 2 236 684 0 43780 3527
p 2 414 498 8 52558 4159
p 2 393 527 0 51282 4151
i 2 920 0 0 41990 4605
i 2 920 0 0 33167 4474
p 2 380 540 0 39288 3892
p 2 614 306 0 36346 4455
p 2 321 599 0 42411 3994
p 2 297 623 0 34686 3705
p 2 96 811 13 13779 2372
p 2 346 573 1 28796 3385
p 2 66 819 35 11827 1908
p 2 221 684 15 31884 2960
p 2 87 772 61 15705 2079
p 2 225 684 11 39051 3139
p 2 123 753 44 22693 2497
p 2 259 652 9 39528 3382
p 2 117 788 15 31085 2749
p 2 127 777 16 17322 2498
p 2 156 760 4 28721 2752
p 2 39 849 32 9579 1872
p 2 77 808 35 25463 2164
p 2 45 846 29 9943 1816
p 2 84 785 51 24069 2170
p 2 43 840 37 9832 1769
p 2 65 826 29 25045 2168
p 2 38 864 18 9978 1915
p 2 60 839 21 24769 2232
p 2 33 880 7 9076 1926
p 2 39 865 16 20902 2122
p 2 31 886 3 10094 1978
p 2 35 871 14 17829 2111
p 2 20 898 2 9569 1899
p 2 25 880 15 15785 2012
p 2 24 886 10 10336 1880
p 2 31 871 18 17281 2017
p 2 16 899 5 10403 1834
p 2 14 896 10 19302 1975
p 2 5 903 12 9883 1756
p 2 17 860 43 17508 1869
p 2 9 902 9 10840 1770
p 2 22 850 48 20476 1880
p 2 25 884 11 13939 1904
p 2 21 885 14 22826 1982
p 2 23 888 9 14415 1939
p 2 26 860 34 24334 2106
p 2 12 886 22 13592 1936
p 2 31 874 15 25590 2179
p 2 6 912 2 12659 1879
p 2 56 858 6 33074 2281
p 2 7 909 4 13509 1887
p 2 67 846 7 29558 2313
p 2 12 903 5 12627 1814
p 2 43 870 7 30499 2163
p 2 2 872 46 12706 1696
p 2 23 862 35 31313 1938
p 2 7 871 42 12750 1670
p 2 138 738 44 34978 2409
p 2 8 787 125 10853 1501
p 2 44 815 61 33867 2097
p 2 5 792 123 10814 1424
p 2 45 834 41 34659 2088
p 2 8 855 57 10532 1427
p 2 119 746 55 36085 2386
p 2 7 808 105 7552 1307
p 2 70 813 37 34499 2132
p 2 2 775 143 7592 1210
p 2 50 823 47 32381 2064
p 2 3 772 145 6610 1166
p 2 75 781 64 32549 2071
p 2 3 742 175 6542 1089
p 2 24 854 42 29989 1873
p 2 0 866 54 6094 1224
p 2 42 836 42 32663 2218
p 2 0 858 62 6629 1268
p 2 54 835 31 33326 2222
p 2 0 847 73 5784 1259
p 2 8 877 35 26838 1878
p 2 0 903 17 5157 1321
p 2 4 911 5 24576 1795
p 2 0 890 30 4907 1281
p 2 13 897 10 25384 1879
p 2 0 891 29 5891 1351
p 2 8 907 5 25869 1897
p 2 0 893 27 5874 1399
p 2 8 907 5 28571 2044
p 2 2 892 26 6206 1479
p 2 10 908 2 27449 2043
p 2 7 892 21 6951 1510
p 2 11 908 1 26627 2008
p 2 6 893 21 6934 1528
p 2 12 908 0 25997 1987
p 2 0 904 16 8068 1512
p 2 62 854 4 26566 2121
p 2 28 877 15 7903 1646
p 2 22 895 3 25824 2075
p 2 14 893 13 9739 1636
p 2 9 908 3 25799 2032
p 2 5 896 19 10381 1573
p 2 7 912 1 26328 2021
p 2 1 900 19 10027 1606
p 2 4 915 1 26207 2037
p 2 3 895 22 9960 1585
p 2 11 907 2 25969 2050
p 2 3 894 23 11076 1610
p 2 4 914 2 27901 2030
p 2 6 899 15 12189 1704
p 2 4 915 1 27439 2066
p 2 0 831 89 3974 1189
p 2 4 880 36 11498 1596
i 2 920 0 0 56922 4776
p 2 7 910 3 23765 1789
p 2 5 908 7 24952 1848
p 2 27 888 5 25864 1970
p 2 5 906 9 24998 1868
p 2 8 905 7 21464 1668
p 2 16 897 7 27849 1908
p 2 5 905 10 25844 1836
p 2 1 910 9 23872 1676
p 2 17 899 4 31104 1963
p 2 25 888 7 31156 2068
p 2 4 909 7 27002 1826
p 2 8 907 5 28932 1899
p 2 28 888 4 29783 2054
p 2 4 909 7 26504 1835
p 2 20 898 2 29514 1967
p 2 8 909 3 27839 1846
p 2 10 903 7 27684 1908
p 2 12 899 9 24624 1800
p 2 3 907 10 24177 1748
p 2 8 907 5 25990 1874
p 2 5 898 17 25849 1819
p 2 5 909 6 25144 1815
p 2 20 887 13 26695 1922
p 2 4 907 9 23407 1691
p 2 21 887 12 28118 1946
p 2 1 905 14 22379 1683
p 2 2 899 19 24458 1749
p 2 2 914 4 20651 1617
p 2 4 908 8 25478 1749
p 2 19 891 10 28456 1886
p 2 0 903 17 25571 1690
p 2 8 898 14 26288 1757
p 2 7 898 15 26736 1705
p 2 7 898 15 26439 1717
p 2 15 889 16 27832 1809
p 2 8 895 17 26347 1697
p 2 11 896 13 27529 1768
p 2 11 884 25 24941 1640
p 2 35 872 13 30435 1967
p 2 35 875 10 29304 1987
p 2 18 887 15 25866 1814
p 2 34 876 10 29124 2044
p 2 14 896 10 22242 1801
p 2 15 891 14 23886 1801
p 2 31 878 11 28494 2039
p 2 11 891 18 23886 1788
p 2 11 892 17 21692 1668
p 2 13 896 11 23349 1728
p 2 15 894 11 26509 1857
p 2 4 896 20 20417 1618
p 2 1 910 9 22992 1710
p 2 14 900 6 26240 1849
p 2 33 874 13 26414 1952
p 2 18 896 6 26576 1911
p 2 12 901 7 23485 1791
p 2 4 910 6 23297 1726
p 2 5 902 13 23418 1702
p 2 8 893 19 22555 1659
p 2 17 890 13 26702 1812
p 2 12 891 17 25664 1731
p 2 11 893 16 26829 1859
p 2 2 908 10 23710 1695
p 2 5 896 19 23927 1692
p 2 5 903 12 23644 1693
p 2 24 891 5 29869 2002
p 2 25 887 8 28568 1939
p 2 3 903 14 23353 1718
p 2 13 903 4 24793 1798
p 2 15 896 9 27125 1899
p 2 11 901 8 26455 1817
p 2 23 885 12 29450 2012
p 2 24 891 5 29187 1970
p 2 28 879 13 26192 1897
p 2 13 900 7 29018 1893
p 2 10 904 6 26157 1813
p 2 9 910 1 26997 1803
p 2 11 899 10 25891 1789
p 2 13 904 3 24219 1795
p 2 2 903 15 25500 1764
p 2 9 901 10 26030 1821
p 2 6 897 17 27335 1871
p 2 12 897 11 26905 1869
p 2 7 892 21 25047 1791
p 2 13 900 7 27151 1875
p 2 9 904 7 26790 1842
p 2 9 901 10 23914 1780
p 2 47 866 7 29194 2116
p 2 8 905 7 21860 1761
p 2 8 904 8 25456 1894
p 2 5 908 7 24814 1866
p 2 4 908 8 22280 1764
p 2 23 884 13 26792 1943
p 2 31 874 15 27808 2057
p 2 3 901 16 22682 1748
p 2 5 906 9 24249 1864
p 2 3 905 12 24749 1736
p 2 12 899 9 25953 1873
p 2 15 896 9 25607 1879
p 2 22 892 6 27280 1931
p 2 17 896 7 26278 1924
p 2 29 877 14 26241 1977
p 2 2 898 20 21859 1686
p 2 2 896 22 19774 1616
p 2 0 904 16 20835 1607
p 2 6 897 17 25350 1837
p 2 0 905 15 20329 1627
p 2 6 897 17 21825 1698
p 2 2 901 17 20901 1641
p 2 6 893 21 22028 1660
p 2 1 906 13 23122 1696
p 2 2 889 29 21430 1589
