# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 797 123 0 4265 2886
p 2 742 178 0 6120 2868
p 2 645 275 0 9377 2967
p 2 593 327 0 10548 2887
p 2 610 310 0 13660 3046
p 2 535 382 3 12334 2750
p 2 575 345 0 18398 3073
p 2 455 465 0 14143 2654
p 2 533 387 0 19935 3056
p 2 413 507 0 14029 2613
p 2 299 621 0 28419 2723
p 2 244 676 0 17742 2391
p 2 331 589 0 32749 2860
p 2 200 720 0 18620 2125
p 2 401 519 0 36349 2919
p 2 287 633 0 19210 2239
p 2 378 542 0 42592 2905
p 2 246 667 7 20674 2154
p 2 405 515 0 40354 2889
p 2 263 653 4 20813 2258
p 2 270 650 0 50165 2780
p 2 184 736 0 22450 1949
p 2 324 596 0 54375 2856
p 2 136 784 0 22138 1686
p 2 412 508 0 54283 3013
p 2 205 711 4 22570 1917
p 2 320 600 0 58774 2862
p 2 190 730 0 23544 1933
p 2 404 516 0 54864 2968
p 2 222 698 0 24833 2086
p 2 226 694 0 70333 2785
p 2 150 770 0 26817 1773
p 2 257 663 0 76293 2920
p 2 111 809 0 25291 1521
p 2 428 492 0 75169 3196
p 2 167 737 16 27699 1694
p 2 355 565 0 78721 3082
p 2 0 821 99 19501 954
p 2 173 745 2 68139 2662
p 2 0 852 68 16319 1023
p 2 124 796 0 79226 2555
p 2 0 888 32 18413 1028
p 2 144 776 0 81252 2667
p 2 0 874 46 17695 995
p 2 281 637 2 79241 2995
p 2 0 863 57 18885 1058
p 2 121 799 0 85466 2676
p 2 0 876 44 22716 1025
p 2 256 660 4 65557 2916
p 2 0 868 52 16212 1034
p 2 57 863 0 79833 2438
p 2 0 894 26 19169 1057
p 2 164 753 3 80397 2707
p 2 0 898 22 17639 1027
p 2 213 705 2 77184 2971
p 2 0 876 44 17310 1029
p 2 126 793 1 80050 2739
p 2 0 878 42 19319 1071
p 2 193 724 3 67460 2774
p 2 0 873 47 15608 1037
p 2 93 827 0 81016 2525
p 2 0 886 34 18610 1032
p 2 186 734 0 79630 2735
p 2 0 886 34 17604 1045
p 2 287 633 0 78323 2978
p 2 0 871 49 18518 1015
p 2 207 712 1 79550 2844
p 2 0 881 39 19427 1018
p 2 199 721 0 67404 2815
p 2 0 878 42 15558 1042
p 2 119 801 0 81561 2598
p 2 0 896 24 19246 1043
p 2 186 734 0 81448 2858
p 2 0 883 37 17317 1016
p 2 234 684 2 74999 3032
p 2 0 876 44 16234 1013
p 2 153 766 1 80024 2730
p 2 0 883 37 19312 1076
p 2 196 723 1 70841 2731
p 2 0 873 47 17610 1040
p 2 100 820 0 82185 2547
p 2 0 894 26 20248 1075
p 2 141 779 0 81257 2781
p 2 0 890 30 18061 1065
p 2 209 711 0 75981 2888
p 2 0 884 36 17640 1041
p 2 247 673 0 77444 2893
p 2 0 883 37 18444 1019
p 2 215 703 2 72304 2784
p 2 0 865 55 18098 1030
p 2 190 730 0 77960 2711
p 2 0 888 32 17427 1036
p 2 228 692 0 80701 2840
p 2 0 840 80 16732 965
p 2 194 724 2 75414 2901
p 2 0 879 41 16128 1029
p 2 153 766 1 81511 2798
p 2 0 882 38 19190 1044
p 2 190 727 3 68857 2738
p 2 0 882 38 16053 1045
p 2 106 814 0 80645 2650
p 2 2 892 26 19626 1074
p 2 200 720 0 80496 2802
p 2 0 861 59 17454 993
p 2 256 664 0 74574 3072
p 2 0 860 60 15965 1001
p 2 189 731 0 85105 2798
p 2 0 888 32 22042 1036
p 2 250 669 1 69351 2872
p 2 0 873 47 16453 1042
p 2 151 766 3 80008 2664
p 2 0 885 35 18544 1070
p 2 160 759 1 79453 2727
p 2 0 884 36 16767 1061
p 2 251 669 0 76789 3015
p 2 0 869 51 16667 1012
p 2 204 715 1 79142 2855
p 2 0 890 30 19745 1049
p 2 231 687 2 68535 2851
p 2 0 876 44 15771 1051
p 2 133 783 4 81321 2644
p 2 0 879 41 18583 1032
p 2 201 719 0 80873 2871
p 2 0 850 70 16569 979
p 2 254 666 0 76414 2998
p 2 0 861 59 16683 1018
p 2 244 676 0 77269 2867
p 2 0 883 37 18187 1028
p 2 215 702 3 71845 2821
p 2 0 857 63 17224 1065
p 2 139 779 2 79077 2649
p 2 0 886 34 17609 1024
p 2 245 674 1 79529 2842
p 2 0 858 62 16687 989
p 2 351 569 0 70611 3057
p 2 0 818 102 14175 940
p 2 177 743 0 80124 2755
p 2 0 875 45 18485 1012
p 2 191 727 2 74378 2858
p 2 0 857 63 16815 1012
p 2 163 754 3 79771 2655
p 2 0 875 45 17293 1011
p 2 285 634 1 79568 2904
p 2 0 880 40 17015 993
p 2 344 576 0 75635 3073
p 2 0 848 72 15853 989
p 2 157 763 0 80823 2698
p 2 1 890 29 20910 1138
p 2 235 683 2 73139 2805
p 2 0 882 38 19755 1145
p 2 132 788 0 82113 2670
p 2 0 880 40 20832 1090
p 2 292 627 1 76567 2860
p 2 0 862 58 15573 968
p 2 344 575 1 76365 3110
p 2 0 866 54 18527 1032
p 2 248 672 0 80523 3030
p 2 0 888 32 18671 1081
p 2 214 705 1 71255 2838
p 2 0 882 38 16672 1045
p 2 177 743 0 81887 2637
p 2 0 887 33 19039 1017
p 2 274 646 0 79334 2930
p 2 0 842 78 16076 962
p 2 287 633 0 75727 3032
p 2 0 864 56 15745 1011
p 2 145 775 0 82738 2923
p 2 0 896 24 19435 1109
p 2 206 712 2 71276 2868
p 2 0 874 46 16041 1042
