# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 76 844 0 3921 1176
p 2 18 591 311 2633 874
p 2 29 830 61 6149 1485
p 2 68 841 11 6009 1506
p 2 270 650 0 6539 2128
p 2 184 731 5 6912 2001
p 2 251 669 0 8043 2382
p 2 178 742 0 8951 2185
p 2 180 740 0 8974 2374
p 2 133 787 0 9473 2236
p 2 131 789 0 9884 2243
p 2 112 808 0 9549 2196
p 2 106 814 0 8643 2241
p 2 90 830 0 9168 2283
p 2 84 836 0 9665 2235
p 2 86 834 0 10199 2332
p 2 81 839 0 10675 2333
p 2 79 841 0 11216 2363
p 2 74 846 0 11402 2394
p 2 69 851 0 12019 2410
p 2 68 852 0 12835 2444
p 2 66 854 0 13203 2452
p 2 63 857 0 13981 2496
p 2 66 854 0 16917 2534
p 2 8 909 3 9904 1528
p 2 45 834 41 11040 1799
p 2 42 809 69 14803 1759
p 2 25 813 82 10702 1663
p 2 25 838 57 9725 1653
p 2 15 771 134 7671 1493
p 2 5 791 124 8043 1460
p 2 6 814 100 8041 1443
p 2 4 834 82 7921 1365
p 2 6 764 150 7857 1306
p 2 0 816 104 7676 1169
p 2 0 799 121 7332 1121
p 2 0 826 94 7681 1137
p 2 0 818 102 8353 1147
p 2 0 809 111 8532 1161
p 2 0 798 122 8905 1183
p 2 1 842 77 9148 1274
p 2 0 813 107 9384 1243
p 2 11 833 76 11096 1311
p 2 13 777 130 12302 1294
p 2 6 817 97 12873 1325
p 2 96 693 131 12539 1682
p 2 82 725 113 17277 1724
p 2 10 796 114 12333 1292
p 2 3 917 0 14916 2004
p 2 0 918 2 14407 1987
p 2 1 918 1 15514 2081
p 2 0 918 2 17044 2076
p 2 0 917 3 17839 2069
p 2 2 916 2 19322 1977
p 2 2 916 2 19575 1904
p 2 3 914 3 21915 1882
p 2 1 918 1 22988 1874
p 2 0 914 6 24233 1781
p 2 0 919 1 25933 1795
p 2 0 911 9 27455 1701
p 2 0 918 2 27740 1681
p 2 2 904 14 29916 1669
p 2 1 915 4 28842 1622
p 2 12 879 29 32588 1660
p 2 11 903 6 34416 1729
p 2 94 817 9 35040 2030
p 2 40 880 0 38910 1929
p 2 15 886 19 36899 1719
p 2 6 910 4 34036 1611
p 2 4 899 17 34263 1541
p 2 2 907 11 33841 1542
p 2 4 890 26 34975 1510
p 2 1 909 10 31160 1431
p 2 0 898 22 30897 1402
p 2 1 905 14 30816 1401
p 2 1 894 25 31030 1392
p 2 0 917 3 30730 1402
p 2 0 907 13 31236 1392
p 2 198 722 0 38614 2285
p 2 159 761 0 38738 2329
p 2 115 805 0 38358 2379
p 2 95 824 1 36901 2377
p 2 94 825 1 35922 2439
p 2 88 831 1 35237 2451
p 2 104 816 0 34680 2538
p 2 98 822 0 33614 2545
p 2 108 812 0 33082 2639
p 2 97 823 0 30975 2596
p 2 126 794 0 33091 2784
p 2 103 817 0 30553 2728
p 2 138 782 0 28431 2908
p 2 90 830 0 28006 2754
p 2 82 838 0 22704 2698
p 2 82 838 0 20218 2672
p 2 82 838 0 17717 2651
p 2 102 818 0 17643 2665
p 2 0 877 43 6510 1179
p 2 0 860 60 6230 1125
p 2 0 855 65 6235 1119
p 2 0 844 76 6129 1097
p 2 0 821 99 6077 1064
p 2 0 820 100 6292 1078
p 2 0 831 89 6175 1077
p 2 0 824 96 6077 1069
p 2 0 793 127 6111 1057
p 2 0 795 125 6165 1038
p 2 0 773 147 6007 1017
p 2 1 776 143 6030 1025
p 2 1 765 154 6075 1016
p 2 5 761 154 7333 1037
i 2 920 0 0 26546 3776
p 2 2 531 387 6383 741
p 2 232 687 1 25947 3087
i 2 920 0 0 23442 3662
p 2 4 632 284 5625 867
i 2 920 0 0 21153 3681
p 2 28 840 52 10076 1654
p 2 301 544 75 22478 3079
p 2 11 891 18 12515 1793
p 2 861 59 0 10258 3105
i 2 920 0 0 27830 3586
i 2 920 0 0 34135 4317
p 2 144 774 2 25688 3052
p 2 62 857 1 23521 2733
p 2 119 801 0 27823 3047
p 2 52 868 0 25783 2813
p 2 106 812 2 26472 3011
p 2 56 864 0 24772 2758
i 2 920 0 0 45451 4385
p 2 254 639 27 41437 3340
p 2 10 694 216 6679 1155
p 2 211 660 49 42415 3370
p 2 11 877 32 18115 1576
p 2 5 910 5 16897 1552
p 2 332 588 0 43414 3797
p 2 310 610 0 30725 3371
p 2 420 498 2 35277 3752
p 2 373 547 0 26887 3572
i 2 920 0 0 13901 2991
p 2 0 878 42 2440 929
p 2 67 733 120 8589 1281
p 2 614 306 0 51549 4608
p 2 317 603 0 34511 3652
p 2 170 750 0 33778 3338
p 2 269 651 0 22776 3095
p 2 90 830 0 23943 2652
p 2 94 826 0 16383 2230
p 2 546 374 0 61147 4100
p 2 25 872 23 19912 1518
p 2 14 842 64 18721 1348
p 2 189 643 88 39926 2399
p 2 2 824 94 18779 1346
p 2 216 673 31 50644 2792
p 2 6 852 62 25009 1483
p 2 24 880 16 40592 2052
p 2 0 877 43 20526 1333
p 2 0 905 15 21515 1451
p 2 0 899 21 19868 1383
p 2 0 886 34 22820 1404
p 2 5 876 39 22829 1452
i 2 920 0 0 42830 4485
p 2 206 709 5 48249 3310
p 2 113 803 4 45880 2855
p 2 73 843 4 42893 2665
p 2 62 857 1 41259 2556
